Category,Brand,Product Name,Approx. Price Range (INR),View on Amazon.in (image+price),Notes
Fish Food,Hikari,Tropical Micro Pellets,₹300-450,https://www.amazon.in/s?k=Hikari+Tropical+Micro+Pellets,"Floating pellets, small-mouthed fish"
Fish Food,Hikari,Cichlid Gold,₹450-870,https://www.amazon.in/s?k=Hikari+Cichlid+Gold,Color-enhancing floating pellets
Fish Food,Hikari,Tropical Food Sticks 250g,₹1200-1700,https://www.amazon.in/s?k=Hikari+Tropical+Food+Sticks+250g,"For Arowana, Oscar, large carnivores"
Fish Food,Hikari,Marine A / Marine S,₹800-1750,https://www.amazon.in/s?k=Hikari+Marine+A+%2F+Marine+S,Marine fish pellets
Fish Food,Hikari,Betta Bio-Gold,₹400-700,https://www.amazon.in/s?k=Hikari+Betta+Bio-Gold,Pellets for bettas
Fish Food,Hikari,Algae Wafers,₹350-650,https://www.amazon.in/s?k=Hikari+Algae+Wafers,"Bottom feeder wafers, plecos/catfish"
Fish Food,Hikari,Crab & Lobster Bites,₹400-700,https://www.amazon.in/s?k=Hikari+Crab+%26+Lobster+Bites,Sinking wafers for crustaceans
Fish Food,Hikari,Gold Pond Food (Growth/Color),₹500-900,https://www.amazon.in/s?k=Hikari+Gold+Pond+Food+%28Growth%2FColor%29,Koi/pond floating pellets
Fish Food,Hikari,Tropical Fancy Guppy,₹350-600,https://www.amazon.in/s?k=Hikari+Tropical+Fancy+Guppy,Guppy-specific pellets
Fish Food,Tetra,TetraMin Flakes,₹150-500,https://www.amazon.in/s?k=Tetra+TetraMin+Flakes,"Staple flake food, all tropical fish"
Fish Food,Tetra,Tetra Granules,₹200-550,https://www.amazon.in/s?k=Tetra+Tetra+Granules,Granulated staple food
Fish Food,Tetra,Tetra Cichlid Pellets,₹250-600,https://www.amazon.in/s?k=Tetra+Tetra+Cichlid+Pellets,Cichlid-specific pellets
Fish Food,Tetra,Tetra Goldfish Pellets/Flakes,₹150-450,https://www.amazon.in/s?k=Tetra+Tetra+Goldfish+Pellets%2FFlakes,Goldfish food
Fish Food,Tetra,Tetra Bloodworms (freeze-dried),₹200-500,https://www.amazon.in/s?k=Tetra+Tetra+Bloodworms+%28freeze-dried%29,Freeze-dried treat
Fish Food,Sera,Sera Vipan Flakes,₹300-700,https://www.amazon.in/s?k=Sera+Sera+Vipan+Flakes,Staple flake food
Fish Food,Sera,Sera Granured,₹350-750,https://www.amazon.in/s?k=Sera+Sera+Granured,Granulated food
Fish Food,Sera,Sera Discus Granulat,₹500-1200,https://www.amazon.in/s?k=Sera+Sera+Discus+Granulat,Discus-specific food
Fish Food,Sera,Sera Goldy,₹300-650,https://www.amazon.in/s?k=Sera+Sera+Goldy,Goldfish food
Fish Food,Taiyo,General Fish Food,₹80-250,https://www.amazon.in/s?k=Taiyo+General+Fish+Food,Budget staple food
Fish Food,Taiyo,Floating Pellets (Goldfish/Carp),₹100-300,https://www.amazon.in/s?k=Taiyo+Floating+Pellets+%28Goldfish%2FCarp%29,Pond/goldfish food
Fish Food,Taiyo,Parrot Fish Food,₹100-300,https://www.amazon.in/s?k=Taiyo+Parrot+Fish+Food,Parrot cichlid food
Fish Food,Taiyo,Turtle Food,₹100-300,https://www.amazon.in/s?k=Taiyo+Turtle+Food,Turtle food
Fish Food,Ocean Nutrition,Formula One Flakes/Pellets,₹400-900,https://www.amazon.in/s?k=Ocean+Nutrition+Formula+One+Flakes%2FPellets,Marine/reef diet
Fish Food,Ocean Nutrition,Formula Two Flakes/Pellets,₹400-900,https://www.amazon.in/s?k=Ocean+Nutrition+Formula+Two+Flakes%2FPellets,Herbivore marine diet
Fish Food,Ocean Nutrition,Prime Reef Flake,₹400-800,https://www.amazon.in/s?k=Ocean+Nutrition+Prime+Reef+Flake,Reef fish flake food
Fish Food,Ocean Free,Flowerhorn Growth/Color Food,₹400-1200,https://www.amazon.in/s?k=Ocean+Free+Flowerhorn+Growth%2FColor+Food,Flowerhorn-specific
Fish Food,Ocean Free,Arowana Food,₹500-1500,https://www.amazon.in/s?k=Ocean+Free+Arowana+Food,Arowana-specific
Fish Food,Life Aayu,Baby Bites 15g,₹150,https://www.amazon.in/s?k=Life+Aayu+Baby+Bites+15g,Fry/baby fish food
Fish Food,Life Aayu,Bacter Boost Plus,₹275+,https://www.amazon.in/s?k=Life+Aayu+Bacter+Boost+Plus,Aquarium bacteria starter
Fish Food,Life Aayu,Blood Worm Pellets 90g,₹490,https://www.amazon.in/s?k=Life+Aayu+Blood+Worm+Pellets+90g,Bloodworm pellets
Fish Food,Life Aayu,Blood Worm Pellets 45g,₹290+,https://www.amazon.in/s?k=Life+Aayu+Blood+Worm+Pellets+45g,"Bloodworm pellets, smaller pack"
Fish Food,Life Aayu,Bloodworm Gel Mix,₹150+,https://www.amazon.in/s?k=Life+Aayu+Bloodworm+Gel+Mix,Gel food for fry/nano fish
Fish Food,Life Aayu,Algae Wafer 15g/45g,₹150-450,https://www.amazon.in/s?k=Life+Aayu+Algae+Wafer+15g%2F45g,Pleco/algae eater food
Fish Food,Life Aayu,Arowana Premium Food,₹790+,https://www.amazon.in/s?k=Life+Aayu+Arowana+Premium+Food,Handmade Ayurvedic Arowana diet
Fish Food,Life Aayu,Artemia Gel Mix,₹150,https://www.amazon.in/s?k=Life+Aayu+Artemia+Gel+Mix,Enzyme-enhanced fry food
Fish Food,API,Fish Flakes,₹150-400,https://www.amazon.in/s?k=API+Fish+Flakes,Staple flake food
Fish Food,API,Pond Pellets,₹300-700,https://www.amazon.in/s?k=API+Pond+Pellets,Pond fish food
Fish Food,New Life Spectrum,Community Formula Pellets,₹600-1500,https://www.amazon.in/s?k=New+Life+Spectrum+Community+Formula+Pellets,Community tank pellets
Fish Food,New Life Spectrum,Cichlid Formula Pellets,₹600-1500,https://www.amazon.in/s?k=New+Life+Spectrum+Cichlid+Formula+Pellets,Cichlid pellets
Fish Food,Promeal,Dried Mealworms,₹150-400,https://www.amazon.in/s?k=Promeal+Dried+Mealworms,High-protein treat
Fish Food,Promeal,Dried Roaches,₹150-400,https://www.amazon.in/s?k=Promeal+Dried+Roaches,High-protein treat
Fish Food,Promeal,Dried Superworms,₹150-450,https://www.amazon.in/s?k=Promeal+Dried+Superworms,High-protein treat
Fish Food,WA Fish Feed,General Flakes/Pellets,₹100-350,https://www.amazon.in/s?k=WA+Fish+Feed+General+Flakes%2FPellets,Budget general food
Tanks,Boyu,Standard Rectangular Glass Tank,₹1500-8000,https://www.amazon.in/s?k=Boyu+Standard+Rectangular+Glass+Tank,Various sizes
Tanks,Boyu,Aquarium Set (tank+filter+light),₹3000-12000,https://www.amazon.in/s?k=Boyu+Aquarium+Set+%28tank%2Bfilter%2Blight%29,Starter combo kits
Tanks,Sobo,Glass Tank (nano to 4ft),₹300-5000,https://www.amazon.in/s?k=Sobo+Glass+Tank+%28nano+to+4ft%29,Various sizes
Tanks,Sobo,Starter Kit,₹1500-6000,https://www.amazon.in/s?k=Sobo+Starter+Kit,Beginner combo kits
Tanks,ADA,Cube Garden Series,₹8000-40000,https://www.amazon.in/s?k=ADA+Cube+Garden+Series,Premium rimless aquascaping tanks
Tanks,UNS,35U/45U/60U Rimless Tanks,₹10000-45000,https://www.amazon.in/s?k=UNS+35U%2F45U%2F60U+Rimless+Tanks,Premium rimless glass tanks
Filters,Boyu,EF-10 External Canister Filter,₹5424,https://www.amazon.in/s?k=Boyu+EF-10+External+Canister+Filter,Canister filter w/ UV
Filters,Boyu,Internal Filter,₹500-2000,https://www.amazon.in/s?k=Boyu+Internal+Filter,Basic internal filtration
Filters,Boyu,HOB Filter,₹800-2500,https://www.amazon.in/s?k=Boyu+HOB+Filter,Hang-on-back filter
Filters,Sobo,Internal Filter,₹300-1500,https://www.amazon.in/s?k=Sobo+Internal+Filter,Budget internal filter
Filters,Sobo,HOB Filter,₹600-2000,https://www.amazon.in/s?k=Sobo+HOB+Filter,Hang-on-back filter
Filters,Atman,Internal/Submersible Filter,₹400-1800,https://www.amazon.in/s?k=Atman+Internal%2FSubmersible+Filter,Compact filter
Filters,Eheim,Classic External Canister,₹6000-18000,https://www.amazon.in/s?k=Eheim+Classic+External+Canister,Premium canister filter
Filters,Eheim,Ecco Pro Canister,₹8000-20000,https://www.amazon.in/s?k=Eheim+Ecco+Pro+Canister,Premium canister filter
Filters,Sunsun,HW Series Canister Filter,₹2500-7000,https://www.amazon.in/s?k=Sunsun+HW+Series+Canister+Filter,Mid-range canister
Filters,Fluval,07 Series Canister Filter,₹10000-25000,https://www.amazon.in/s?k=Fluval+07+Series+Canister+Filter,Premium canister filter
Motors/Pumps,Eheim,compactON 300/600/1000/2100/3000,₹3700-9000,https://www.amazon.in/s?k=Eheim+compactON+300%2F600%2F1000%2F2100%2F3000,Adjustable water pumps
Motors/Pumps,Eheim,compactON 5000/9000/12000/16000,₹10000-25000,https://www.amazon.in/s?k=Eheim+compactON+5000%2F9000%2F12000%2F16000,High flow pumps
Motors/Pumps,Eheim,Air100 Single Outlet Air Pump,₹3949,https://www.amazon.in/s?k=Eheim+Air100+Single+Outlet+Air+Pump,Compact air pump
Motors/Pumps,Resun,ACO-001 Electromagnetic Air Pump,₹500-1200,https://www.amazon.in/s?k=Resun+ACO-001+Electromagnetic+Air+Pump,Aeration pump
Motors/Pumps,Resun,ACO-003 Electromagnetic Air Pump,₹600-1400,https://www.amazon.in/s?k=Resun+ACO-003+Electromagnetic+Air+Pump,Aeration pump
Motors/Pumps,Sobo,SB-988 4-Outlet Air Pump,₹1941,https://www.amazon.in/s?k=Sobo+SB-988+4-Outlet+Air+Pump,"Adjustable flow, silent"
Motors/Pumps,Jebao/Jecod,DC Wave Maker/Circulation Pump,₹3000-12000,https://www.amazon.in/s?k=Jebao%2FJecod+DC+Wave+Maker%2FCirculation+Pump,Wave maker for reef/planted tanks
Motors/Pumps,Hailea,Air Pump (various HP),₹500-3000,https://www.amazon.in/s?k=Hailea+Air+Pump+%28various+HP%29,General aeration pump
Lights,Chihiros,A Series LED,₹4000-9000,https://www.amazon.in/s?k=Chihiros+A+Series+LED,Mounted lighting system
Lights,Chihiros,A Plus Series LED,₹6000-12000,https://www.amazon.in/s?k=Chihiros+A+Plus+Series+LED,Higher output for heavy planting
Lights,Chihiros,C II LED,₹2500-5000,https://www.amazon.in/s?k=Chihiros+C+II+LED,"White LED, nano tanks"
Lights,Chihiros,RGB VIVID II / Mini,₹8800-21600,https://www.amazon.in/s?k=Chihiros+RGB+VIVID+II+%2F+Mini,"3-in-1 RGB, app controlled"
Lights,Chihiros,WRGB II / Pro / Slim,₹10000-25000,https://www.amazon.in/s?k=Chihiros+WRGB+II+%2F+Pro+%2F+Slim,"4-in-1 WRGB, app controlled"
Lights,Chihiros,Universal WRGB 600/800,₹12000-20000,https://www.amazon.in/s?k=Chihiros+Universal+WRGB+600%2F800,Universal retrofit light
Lights,Twinstar,E-Series RGB Light,₹6000-18000,https://www.amazon.in/s?k=Twinstar+E-Series+RGB+Light,Over-tank RGB light
Lights,Twinstar,Light G Series,₹8000-20000,https://www.amazon.in/s?k=Twinstar+Light+G+Series,Aquascaping light
Lights,Skylight,ENTRIQ Series,₹10000-22000,https://www.amazon.in/s?k=Skylight+ENTRIQ+Series,Aquarium set lighting
Lights,Sobo,Basic LED Light,₹500-2000,https://www.amazon.in/s?k=Sobo+Basic+LED+Light,Budget clip-on/hood light
Lights,Nemo Light,LED Light,₹1500-4000,https://www.amazon.in/s?k=Nemo+Light+LED+Light,Budget-mid LED
Heaters,Eheim,Thermocontrol Heater 25W-300W,₹2000-6000,https://www.amazon.in/s?k=Eheim+Thermocontrol+Heater+25W-300W,Adjustable precision heater
Heaters,Sobo,Submersible Heater,₹300-1200,https://www.amazon.in/s?k=Sobo+Submersible+Heater,Budget heater
Heaters,Atman,Submersible Heater,₹400-1500,https://www.amazon.in/s?k=Atman+Submersible+Heater,Budget-mid heater
CO2 Systems,Chihiros,CO2 Generator Kit 2.5L,₹4000-8000,https://www.amazon.in/s?k=Chihiros+CO2+Generator+Kit+2.5L,Includes diffuser + regulator
CO2 Systems,Chihiros,Dosing Pump System (4-head),₹4400-12000,https://www.amazon.in/s?k=Chihiros+Dosing+Pump+System+%284-head%29,App-controlled auto dosing
CO2 Systems,Twinstar,CO2 Diffuser,₹1500-4000,https://www.amazon.in/s?k=Twinstar+CO2+Diffuser,Planted tank CO2 diffuser
Test Kits,Lifesonic,Digital TDS Meter,₹500-1200,https://www.amazon.in/s?k=Lifesonic+Digital+TDS+Meter,Water quality meter
Test Kits,Lifesonic,Digital pH Meter,₹500-1200,https://www.amazon.in/s?k=Lifesonic+Digital+pH+Meter,Water purity meter
Test Kits,Lifesonic,Master Test Kit (100 tests),₹800-1800,https://www.amazon.in/s?k=Lifesonic+Master+Test+Kit+%28100+tests%29,pH/Ammonia/Nitrite kit
Test Kits,Bionix,Aqua Test Kit,₹400-1000,https://www.amazon.in/s?k=Bionix+Aqua+Test+Kit,Basic water test kit
